KT.TXT	Home to Kaynes Technologies Cycle
Test Time, secs Target Speed, mph
450	27.42317
451	27.44389
452	27.4646
453	26.94679
454	26.42898
455	25.91117
456	26.53254
457	27.15391
458	28.19471
459	29.23551
460	30.2763
461	31.3171
462	30.94428
463	30.57145
464	30.19863
465	29.82581
466	29.70153
467	29.57726
468	30.73715
469	31.89704
470	33.05694
471	31.68992
472	30.3229
473	30.35397
474	30.38504
475	30.75786
476	31.13069
477	30.97534
478	30.82
479	30.38504
480	29.95008
481	29.68082
482	29.41156
483	29.1423
484	28.87304
485	28.60378
486	28.33452
487	28.03626
488	27.738
489	27.43974
490	27.14149
491	26.84323
492	26.78109
493	26.71895
494	26.65682
495	26.59468
496	26.53254
497	26.54808
498	26.56361
499	26.57914
500	26.59468
501	25.9526
502	25.31051
503	24.66843
504	22.7836
505	20.89878
506	19.01395
507	19.32464
508	19.63532
509	19.94601
510	20.25669
511	20.56738
512	20.87807
513	21.79459
514	22.71111
515	23.62763
516	24.54415
517	25.63155
518	26.71895
519	27.12284
520	27.52674
521	27.67586
522	27.82499
523	27.97412
524	28.12325
525	28.27238
526	27.89956
527	27.52674
528	27.15391
529	27.09178
530	27.02964
531	27.31961
532	27.60958
533	27.89956
534	28.27238
535	28.6452
536	28.31898
537	27.99276
538	27.66654
539	27.34032
540	27.54227
541	27.74422
542	27.94616
543	28.14811
544	27.2989
545	26.44969
546	25.60049
547	25.66262
548	25.72476
549	25.7869
550	25.80761
551	25.82832
552	25.84903
553	25.26494
554	24.68086
555	24.09677
556	23.51268
557	22.92859
558	21.77905
559	20.62952
560	19.47998
561	18.33044
562	18.51686
563	17.7505
564	16.98414
565	16.21778
566	16.27992
567	16.34206
568	16.40419
569	17.66247
570	18.92075
571	20.17902
572	21.4373
573	22.36936
574	23.30141
575	24.23347
576	24.82377
577	25.41407
578	26.25292
579	27.09178
580	27.61994
581	28.14811
582	28.33452
583	28.52093
584	28.70734
585	28.81608
586	28.92482
587	29.03356
588	29.1423
589	29.279
590	29.4157
591	29.5524
592	29.68911
593	29.82581
594	29.86723
595	29.90866
596	29.95008
597	29.74296
598	29.53583
599	29.32871
600	29.16301
601	28.99731
602	28.83161
603	28.62967
604	28.42772
605	28.22578
606	28.02383
607	28.31898
608	28.61413
609	28.90929
610	29.20444
611	29.51512
612	29.82581
613	30.13649
614	30.44718
615	30.30219
616	30.15721
617	30.01222
618	29.0957
619	28.17917
620	27.26265
621	26.34613
622	26.86808
623	27.39003
624	27.91199
625	28.43394
626	28.95589
627	29.12987
628	29.30386
629	29.47784
630	29.65182
631	29.82581
632	29.82581
633	29.9128
634	29.99979
635	30.08678
636	30.17378
637	30.26077
638	30.1862
639	30.11164
640	30.03707
641	29.96251
642	29.88795
643	29.85688
644	29.82581
645	29.79474
646	29.76367
647	30.04329
648	30.3229
649	30.49378
650	30.66466
651	30.83554
652	31.00641
653	30.29184
654	29.57726
655	29.39085
656	29.20444
657	28.58307
658	27.9617
659	27.34032
660	26.81216
661	26.28399
662	25.24837
663	24.21276
664	23.17714
665	20.13242
666	17.0877
667	16.63203
668	16.17636
669	15.72069
670	17.19644
671	18.6722
672	20.14795
673	21.62371
674	23.6121
675	25.60049
676	27.58887
677	29.01803
678	30.44718
679	30.59631
680	30.74544
681	30.89457
682	31.0437
683	31.19282
684	30.57145
685	29.95008
686	29.32871
687	29.35978
688	29.39085
689	29.42192
690	29.45299
691	29.45299
692	29.45299
693	29.45299
694	29.45299
695	29.28729
696	29.12159
697	28.95589
698	29.04909
699	29.1423
700	29.1423
701	29.1423
702	29.1423
703	29.1423
704	29.05531
705	28.96832
706	28.88132
707	28.79433
708	28.70734
709	28.5986
710	28.48986
711	28.38112
712	28.27238
713	27.71315
714	27.89956
715	28.08597
716	28.21024
717	28.33452
718	28.45879
719	28.58307
720	28.24131
721	27.89956
722	27.5578
723	27.21605
724	26.197
725	25.17795
726	24.1589
727	23.13986
728	22.12081
729	22.80432
730	23.48782
731	24.17133
732	24.85484
733	25.56942
734	26.28399
735	26.99857
736	27.71315
737	27.65101
738	27.58887
739	27.52674
740	27.4646
741	27.16634
742	26.86808
743	26.56982
744	26.27157
745	25.97331
746	26.57397
747	27.17463
748	27.77528
749	28.16882
750	28.56235
751	28.95589
752	29.08016
753	29.20444
754	29.32871
755	29.45299
756	29.84652
757	30.24006
758	30.63359
759	30.38504
760	30.13649
761	29.88795
762	29.6394
763	29.39085
764	29.1423
765	28.8109
766	28.4795
767	28.14811
768	28.0984
769	28.04869
770	27.99898
771	27.94927
772	27.89956
773	27.11249
774	26.32542
775	25.53835
776	25.50728
777	25.47621
778	25.93603
779	26.39584
780	26.85565
781	27.31547
782	27.77528
783	29.08016
784	30.38504
785	30.41611
786	30.44718
787	30.41611
788	30.38504
789	30.57145
790	30.75786
791	30.94428
792	29.91901
793	28.89375
794	28.23096
795	27.56816
796	26.90536
797	26.95507
798	27.00478
799	27.05449
800	27.1042
801	27.15391
802	27.9617
803	28.76948
804	29.57726
805	29.88795
806	30.19863
807	30.50932
808	29.97079
809	29.43227
810	28.89375
811	28.61413
812	28.33452
813	27.18498
814	26.03544
815	26.25292
816	26.4704
817	26.9675
818	27.4646
819	27.9617
820	28.45879
821	28.95589
822	29.45299
823	29.17337
824	28.89375
825	27.71315
826	26.53254
827	25.77136
828	25.01018
829	24.249
830	23.48782
831	24.97911
832	24.90144
833	24.82377
834	24.7461
835	24.66843
836	23.98492
837	23.30141
838	22.50916
839	21.71692
840	20.92467
841	20.13242
842	15.19252
843	10.25262
844	10.34583
845	10.43903
846	10.53224
847	10.62544
848	10.72901
849	10.83257
850	10.93613
851	11.03969
852	11.14325
853	11.24682
854	11.91257
855	12.57832
856	13.24408
857	13.90983
858	14.57559
859	15.24134
860	15.9071
861	17.30518
862	18.70327
863	20.10135
864	21.49944
865	21.85155
866	22.20366
867	22.55577
868	22.74218
869	22.92859
870	22.47292
871	22.01725
872	21.56157
873	21.71692
874	21.87226
875	22.0276
876	22.18294
877	22.63344
878	23.08393
879	23.53443
880	23.98492
881	24.21276
882	24.44059
883	24.66843
884	24.73057
885	24.7927
886	24.83413
887	24.87555
888	24.91698
889	24.93251
890	24.94805
891	24.96358
892	24.97911
893	25.22766
894	25.14481
895	25.06196
896	24.97911
897	25.35194
898	25.72476
899	25.91117
900	26.09758
901	26.28399
902	26.31506
903	26.34613
904	26.19079
905	26.03544
906	25.1531
907	24.27075
908	23.3884
909	22.50606
910	21.62371
911	21.54915
912	21.47458
913	21.40002
914	21.32545
915	21.25089
916	21.04894
917	20.847
918	20.64505
919	20.44311
920	20.10135
921	19.7596
922	20.13242
923	20.50524
924	20.87807
925	19.83727
926	18.79647
927	17.75568
928	16.71488
929	14.10512
930	11.49536
931	8.88561
932	6.27585
933	7.99793
934	9.72002
935	11.4421
936	13.16419
937	14.88627
938	16.60836
939	18.33044
940	17.11877
941	15.9071
942	14.69542
943	13.48375
944	11.71284
945	9.94194
946	8.17103
947	6.40012
948	8.41336
949	10.42661
950	12.43985
951	14.45309
952	16.46633
953	18.39258
954	17.50195
955	16.61132
956	15.72069
957	13.91871
958	12.11673
959	10.31476
960	10.58025
961	10.84575
962	11.11124
963	11.37674
964	11.64223
965	11.90773
966	12.17322
967	12.43872
968	12.70421
969	12.96971
970	13.2352
971	12.8106
972	12.386
973	11.96139
974	11.53679
975	11.11218
976	10.68758
977	8.60599
978	6.5244
979	4.4428
980	2.36121
981	2.24315
982	2.12509
983	2.00703
984	1.88897
985	1.77091
986	1.65285
987	1.53479
988	1.41673
989	1.29867
990	1.1806
991	1.06254
992	0.94448
993	0.82642
994	0.70836
995	0.5903
996	0.47224
997	0.35418
998	0.23612
999	0.11806
1000	0
1001	0.0158
1002	0.0316
1003	0.04739
1004	0.06319
1005	0.07899
1006	0.09479
1007	0.11058
1008	0.12638
1009	0.14218
1010	0.15798
1011	0.17377
1012	0.18957
1013	0.20537
1014	0.22117
1015	0.23696
1016	0.25276
1017	0.26856
1018	0.28436
1019	0.30015
1020	0.31595
1021	0.33175
1022	0.34755
1023	0.36334
1024	0.37914
1025	0.39494
1026	0.41074
1027	0.42653
1028	0.44233
1029	0.45813
1030	0.47393
1031	0.48972
1032	0.50552
1033	0.52132
1034	0.53712
1035	0.55291
1036	0.56871
1037	0.58451
1038	0.60031
1039	0.61611
1040	0.6319
1041	0.6477
1042	0.6635
1043	0.6793
1044	0.69509
1045	0.71089
1046	0.72669
1047	0.74249
1048	0.75828
1049	0.77408
1050	0.78988
1051	0.80568
1052	0.82147
1053	0.83727
1054	0.85307
1055	0.86887
1056	0.88466
1057	0.90046
1058	0.91626
1059	0.93206
1060	0.79891
1061	0.66575
1062	0.5326
1063	0.39945
1064	0.2663
1065	0.13315
1066	0
